TP (%),RPM,Lambda (AFR)
7.092,3634.24,11.37
7.112,3635.3,11.37
7.133,3636.35,11.37
7.152,3637.39,11.37
7.172,3638.43,11.37
7.191,3639.46,11.38
7.213,3640.6,11.38
7.232,3641.64,11.38
7.25,3642.67,11.38
7.269,3643.72,11.38
7.288,3644.78,11.38
7.307,3645.85,11.38
7.327,3647.06,11.38
7.345,3648.18,11.38
7.363,3649.33,11.38
7.381,3650.49,11.38
7.398,3651.66,11.38
7.415,3652.87,11.38
7.434,3654.21,11.38
7.451,3655.44,11.38
7.466,3656.69,11.39
7.482,3657.96,11.39
7.497,3659.22,11.39
7.512,3660.49,11.39
7.529,3661.89,11.39
7.545,3663.3,11.39
7.559,3664.59,11.39
7.573,3665.89,11.39
7.586,3667.19,11.39
7.598,3668.5,11.39
7.611,3669.81,11.39
7.624,3671.26,11.39
7.636,3672.57,11.39
7.647,3673.89,11.39
7.658,3675.21,11.39
7.668,3676.53,11.39
7.678,3677.84,11.39
7.688,3679.28,11.39
7.699,3680.72,11.39
7.707,3682.02,11.39
7.715,3683.31,11.39
7.724,3684.61,11.39
7.731,3685.91,11.39
7.739,3687.21,11.39
7.747,3688.67,11.39
7.755,3690.14,11.39
7.761,3691.5,11.39
7.767,3692.86,11.39
7.773,3694.24,11.39
7.779,3695.64,11.39
7.785,3697.05,11.39
7.791,3698.62,11.39
7.797,3700.2,11.39
7.802,3701.63,11.39
7.807,3703.05,11.39
7.811,3704.47,11.39
7.815,3705.91,11.39
7.819,3707.36,11.39
7.824,3708.96,11.39
7.828,3710.59,11.39
7.832,3712.06,11.39
7.835,3713.54,11.39
7.839,3715.02,11.39
7.842,3716.51,11.39
7.845,3717.99,11.39
7.848,3719.65,11.39
7.851,3721.3,11.39
7.855,3722.95,11.39
7.857,3724.43,11.39
7.86,3725.88,11.39
7.863,3727.32,11.39
7.865,3728.75,11.39
7.868,3730.17,11.39
7.87,3731.74,11.39
7.873,3733.31,11.39
7.876,3734.88,11.39
7.878,3736.3,11.39
7.88,3737.71,11.39
7.882,3739.13,11.39
7.884,3740.54,11.39
7.886,3741.97,11.39
7.889,3743.56,11.39
7.891,3745.16,11.39
7.893,3746.77,11.39
7.894,3748.37,11.39
7.896,3749.81,11.39
7.897,3751.25,11.39
7.898,3752.69,11.39
7.9,3754.13,11.39
7.901,3755.58,11.39
7.902,3757.2,11.39
7.903,3758.82,11.38
7.904,3760.46,11.38
7.905,3762.11,11.38
7.906,3763.61,11.38
7.907,3765.12,11.38
7.908,3766.63,11.38
7.909,3769.67,11.37
7.91,3771.36,11.37
7.911,3774.67,11.36
7.912,3780.6,11.35
6.898,3977.73,10.9
6.9,3980.04,10.89
6.902,3981.08,10.89
6.904,3982.24,10.89
6.907,3983.39,10.89
6.91,3984.53,10.88
6.913,3985.67,10.88
6.917,3986.9,10.88
6.921,3988.02,10.88
6.926,3989.12,10.88
6.93,3990.22,10.88
6.936,3991.33,10.87
6.941,3992.43,10.87
6.947,3993.55,10.87
6.953,3994.68,10.87
6.959,3995.81,10.87
6.966,3996.96,10.87
6.973,3998.11,10.87
6.98,3999.26,10.86
6.987,4000.41,10.86
6.994,4001.56,10.86
7.001,4002.7,10.86
7.008,4003.84,10.86
7.016,4004.98,10.86
7.024,4006.12,10.86
7.031,4007.25,10.86
7.039,4008.39,10.86
7.047,4009.53,10.86
7.055,4010.67,10.86
