TP (%),RPM,Lambda (AFR)
7.063,4011.82,10.85
7.071,4012.98,10.85
7.079,4014.14,10.85
7.088,4015.3,10.85
7.096,4016.47,10.85
7.104,4017.64,10.85
7.113,4018.8,10.85
7.122,4019.96,10.85
7.13,4021.1,10.85
7.139,4022.25,10.85
7.147,4023.38,10.85
7.156,4024.52,10.85
7.165,4025.66,10.85
7.173,4026.81,10.85
7.182,4027.95,10.85
7.191,4029.1,10.85
7.199,4030.24,10.85
7.208,4031.39,10.85
7.216,4032.54,10.85
7.225,4033.69,10.85
7.233,4034.84,10.85
7.241,4035.98,10.85
7.249,4037.11,10.85
7.257,4038.25,10.85
7.264,4039.37,10.85
7.272,4040.5,10.85
7.279,4041.64,10.85
7.286,4042.79,10.85
7.293,4043.95,10.85
7.3,4045.11,10.85
7.307,4046.4,10.85
7.314,4047.69,10.85
7.321,4048.99,10.85
7.328,4050.28,10.85
7.335,4051.58,10.85
7.34,4052.75,10.85
7.346,4053.91,10.85
7.352,4055.07,10.85
7.357,4056.21,10.85
7.362,4057.35,10.85
7.368,4058.49,10.85
7.373,4059.63,10.85
7.378,4060.77,10.85
7.384,4061.91,10.85
7.389,4063.05,10.85
7.395,4064.2,10.85
7.401,4065.35,10.85
7.406,4066.51,10.85
7.412,4067.66,10.85
7.418,4068.81,10.85
7.424,4069.96,10.85
7.429,4071.1,10.85
7.435,4072.23,10.85
7.442,4073.48,10.85
7.449,4074.72,10.85
7.455,4075.96,10.85
7.462,4077.22,10.85
7.47,4078.47,10.85
7.476,4079.62,10.85
7.483,4080.78,10.85
7.49,4081.95,10.85
7.498,4083.12,10.85
7.505,4084.3,10.85
7.513,4085.48,10.85
7.52,4086.65,10.85
7.528,4087.83,10.85
7.536,4089.01,10.85
7.545,4090.18,10.85
7.553,4091.35,10.86
7.563,4092.52,10.86
7.572,4093.7,10.86
7.582,4094.88,10.86
7.592,4096.06,10.86
7.603,4097.36,10.86
7.614,4098.66,10.86
7.626,4099.97,10.86
7.638,4101.29,10.86
7.651,4102.61,10.86
7.663,4103.82,10.87
7.676,4105.02,10.87
7.689,4106.23,10.87
7.703,4107.43,10.87
7.717,4108.63,10.87
7.733,4109.83,10.87
7.748,4111.04,10.87
7.765,4112.26,10.88
7.782,4113.48,10.88
7.799,4114.7,10.88
7.819,4116.05,10.88
7.839,4117.41,10.88
7.861,4118.77,10.88
7.883,4120.14,10.88
7.907,4121.53,10.89
7.929,4122.78,10.89
7.952,4124.04,10.89
7.975,4125.29,10.89
7.999,4126.54,10.89
8.023,4127.79,10.89
8.048,4129.04,10.9
8.073,4130.3,10.9
8.099,4131.57,10.9
8.126,4132.85,10.9
8.156,4134.26,10.9
8.186,4135.68,10.9
8.216,4137.11,10.91
8.247,4138.55,10.91
8.278,4139.99,10.91
8.307,4141.3,10.91
8.336,4142.62,10.91
8.365,4143.92,10.91
8.394,4145.23,10.92
8.424,4146.54,10.92
8.453,4147.85,10.92
8.483,4149.17,10.92
8.516,4150.64,10.92
8.548,4152.09,10.93
8.581,4153.55,10.93
8.615,4155.01,10.93
8.648,4156.48,10.93
8.678,4157.82,10.94
8.708,4159.17,10.94
8.737,4160.51,10.94
8.767,4161.86,10.94
8.796,4163.2,10.94
8.826,4164.55,10.95
8.858,4166.04,10.95
8.89,4167.55,10.95
8.921,4169.06,10.95
8.953,4170.6,10.96
8.984,4172.15,10.96
9.012,4173.57,10.96
9.04,4174.99,10.96
9.068,4176.43,10.97
9.095,4177.86,10.97
9.122,4179.31,10.97
9.148,4180.76,10.97
9.177,4182.36,10.98
9.205,4183.94,10.98
9.233,4185.53,10.98
9.26,4187.13,10.99
9.287,4188.73,10.99
9.31,4190.18,10.99
9.333,4191.65,11
9.356,4193.12,11
9.378,4194.6,11
9.403,4196.22,11.01
9.427,4197.84,11.01
9.45,4199.47,11.01
9.472,4201.11,11.02
9.495,4202.76,11.02
9.514,4204.26,11.03
9.533,4205.77,11.03
9.552,4207.27,11.04
9.57,4208.78,11.04
9.59,4210.45,11.05
9.61,4212.14,11.05
9.63,4213.85,11.06
9.65,4215.57,11.06
9.669,4217.3,11.07
9.687,4218.88,11.07
9.705,4220.46,11.08
9.723,4222.05,11.08
9.741,4223.64,11.09
9.76,4225.39,11.09
9.78,4227.14,11.1
9.8,4228.89,11.1
9.82,4230.64,11.11
9.84,4232.4,11.12
9.859,4234,11.12
9.878,4235.61,11.13
9.899,4237.4,11.13
9.92,4239.2,11.14
9.942,4241.01,11.15
9.963,4242.83,11.15
9.985,4244.65,11.16
10.006,4246.32,11.16
10.026,4247.99,11.17
10.047,4249.65,11.17
10.068,4251.32,11.18
10.091,4253.14,11.18
10.114,4254.97,11.19
10.137,4256.79,11.2
10.16,4258.62,11.2
10.183,4260.45,11.21
10.205,4262.14,11.21
10.228,4264.01,11.22
10.252,4265.88,11.22
10.276,4267.77,11.23
10.301,4269.65,11.23
10.325,4271.54,11.24
10.347,4273.26,11.24
10.369,4274.99,11.24
10.394,4276.87,11.25
10.418,4278.76,11.25
10.442,4280.64,11.26
10.466,4282.54,11.26
10.49,4284.44,11.27
10.512,4286.18,11.27
10.536,4288.1,11.27
10.56,4290.04,11.28
10.584,4291.98,11.28
10.607,4293.93,11.28
10.631,4295.88,11.29
10.652,4297.66,11.29
10.673,4299.43,11.29
10.696,4301.39,11.29
10.719,4303.33,11.3
10.741,4305.26,11.3
10.763,4307.2,11.3
10.785,4309.14,11.3
10.804,4310.9,11.31
10.825,4312.85,11.31
10.846,4314.8,11.31
10.867,4316.75,11.31
10.888,4318.71,11.31
10.909,4320.67,11.31
10.927,4322.44,11.32
10.948,4324.38,11.32
10.968,4326.33,11.32
10.988,4328.26,11.32
11.007,4330.18,11.32
11.027,4332.1,11.32
11.046,4334.01,11.32
11.064,4335.93,11.32
11.083,4337.85,11.32
11.101,4339.79,11.32
11.119,4341.74,11.32
11.135,4343.53,11.32
11.153,4345.5,11.32
11.171,4347.47,11.32
11.188,4349.45,11.32
11.205,4351.43,11.32
11.222,4353.4,11.32
11.239,4355.38,11.32
11.256,4357.35,11.32
11.273,4359.33,11.32
11.289,4361.3,11.32
11.305,4363.29,11.32
11.321,4365.28,11.32
11.337,4367.28,11.32
11.353,4369.29,11.32
11.369,4371.31,11.32
11.385,4373.33,11.32
11.4,4375.34,11.32
11.416,4377.35,11.32
11.431,4379.35,11.32
11.447,4381.36,11.32
11.462,4383.35,11.32
11.477,4385.34,11.32
11.492,4387.32,11.32
11.507,4389.32,11.32
11.521,4391.32,11.32
11.535,4393.35,11.32
11.55,4395.39,11.32
11.564,4397.44,11.32
11.578,4399.52,11.32
11.592,4401.59,11.32
11.605,4403.66,11.32
11.619,4405.73,11.32
11.632,4407.81,11.32
11.645,4409.86,11.32
11.657,4411.92,11.32
11.67,4414.17,11.32
11.682,4416.23,11.32
11.693,4418.32,11.32
11.704,4420.42,11.32
11.714,4422.55,11.32
11.724,4424.7,11.32
11.733,4426.87,11.33
11.741,4429.06,11.33
11.749,4431.25,11.33
11.756,4433.64,11.33
11.762,4435.83,11.33
11.766,4438.03,11.33
11.769,4440.23,11.33
11.773,4442.61,11.33
6.892,4870.68,11.1
6.893,4871.75,11.1
6.895,4872.74,11.1
6.897,4873.72,11.1
6.901,4874.69,11.1
6.905,4875.65,11.1
6.91,4876.6,11.1
6.917,4877.55,11.1
6.926,4878.58,11.1
6.937,4879.53,11.1
6.95,4880.56,11.1
6.966,4881.49,11.1
6.984,4882.51,11.1
7.006,4883.44,11.1
7.03,4884.36,11.1
7.059,4885.28,11.1
7.09,4886.18,11.1
7.126,4887.08,11.1
7.164,4887.98,11.1
7.21,4888.94,11.1
7.255,4889.82,11.1
7.31,4890.79,11.1
7.364,4891.68,11.1
7.424,4892.56,11.1
7.487,4893.45,11.1
7.555,4894.34,11.1
7.626,4895.23,11.1
7.702,4896.12,11.11
7.783,4897.08,11.11
7.864,4897.97,11.11
7.953,4898.94,11.11
8.04,4899.82,11.11
8.135,4900.79,11.11
8.228,4901.68,11.12
8.332,4902.65,11.12
8.43,4903.55,11.13
8.539,4904.51,11.13
8.642,4905.4,11.13
8.75,4906.27,11.14
8.856,4907.14,11.15
8.966,4908,11.15
9.074,4908.85,11.16
9.186,4909.69,11.16
9.304,4910.6,11.17
9.417,4911.44,11.18
9.539,4912.35,11.19
9.653,4913.2,11.2
9.777,4914.13,11.21
9.892,4915,11.22
10.018,4915.96,11.23
10.133,4916.87,11.24
10.25,4917.8,11.25
10.365,4918.75,11.26
10.48,4919.71,11.27
10.594,4920.71,11.28
10.707,4921.73,11.29
10.83,4922.86,11.3
10.941,4923.96,11.31
11.063,4925.17,11.33
11.173,4926.34,11.34
11.292,4927.63,11.35
11.398,4928.87,11.36
11.515,4930.23,11.37
11.617,4931.56,11.39
11.73,4933,11.4
11.826,4934.41,11.41
11.933,4935.93,11.42
12.024,4937.4,11.44
12.123,4938.98,11.45
12.208,4940.52,11.46
12.301,4942.19,11.48
12.379,4943.81,11.49
12.462,4945.58,11.5
12.533,4947.27,11.51
12.599,4949,11.52
12.661,4950.76,11.54
12.72,4952.55,11.55
12.776,4954.33,11.56
12.827,4956.16,11.57
12.881,4958.12,11.58
12.924,4959.98,11.59
12.969,4961.98,11.6
13.005,4963.89,11.61
13.043,4965.95,11.63
13.072,4967.9,11.64
13.101,4970.02,11.65
13.124,4972.02,11.65
13.148,4974.2,11.66
13.166,4976.24,11.67
13.184,4978.45,11.68
13.198,4980.52,11.69
13.212,4982.77,11.69
13.223,4984.86,11.7
13.233,4987.16,11.71
13.241,4989.32,11.71
13.248,4991.68,11.72
13.253,4993.88,11.72
13.258,4996.3,11.73
13.262,4998.55,11.73
13.265,5001.01,11.74
13.267,5003.31,11.74
13.268,5005.81,11.74
3.081,5323.31,11.63
3.092,5322.77,11.63
3.108,5322.18,11.63
3.129,5321.52,11.63
3.158,5320.84,11.63
3.196,5320.08,11.63
3.236,5319.27,11.62
3.283,5318.39,11.62
3.334,5317.5,11.61
3.392,5316.5,11.6
3.456,5315.43,11.59
3.522,5314.34,11.58
3.592,5313.19,11.57
3.671,5311.89,11.56
3.748,5310.62,11.55
3.827,5309.31,11.53
3.913,5307.87,11.52
3.996,5306.46,11.5
4.08,5305.01,11.49
4.171,5303.43,11.47
4.256,5301.9,11.45
4.342,5300.32,11.43
4.434,5298.62,11.41
4.521,5296.99,11.39
4.607,5295.34,11.37
4.701,5293.58,11.35
4.788,5291.93,11.33
4.873,5290.28,11.31
4.958,5288.66,11.28
5.042,5287.07,11.26
5.125,5285.51,11.23
5.214,5283.84,11.21
5.295,5282.32,11.18
5.382,5280.7,11.15
5.461,5279.24,11.12
5.539,5277.81,11.09
5.616,5276.42,11.07
5.691,5275.08,11.04
5.763,5273.82,11.01
5.841,5272.46,10.98
5.91,5271.28,10.96
5.975,5270.19,10.93
6.046,5269,10.91
6.108,5267.98,10.88
6.166,5267.03,10.86
6.224,5266.09,10.84
6.279,5265.18,10.83
6.329,5264.36,10.81
6.379,5263.55,10.8
6.426,5262.78,10.78
6.475,5261.97,10.77
6.517,5261.31,10.77
6.555,5260.69,10.76
6.59,5260.16,10.76
6.623,5259.64,10.76
6.653,5259.2,10.76
6.682,5258.77,10.76
6.708,5258.38,10.77
6.735,5258,10.78
6.757,5257.74,10.78
6.776,5257.54,10.79
6.794,5257.43,10.8
6.81,5257.36,10.82
6.825,5257.35,10.83
6.838,5257.42,10.84
6.85,5257.52,10.85
6.863,5257.67,10.87
6.872,5257.91,10.88
6.881,5258.19,10.89
6.89,5258.54,10.91
6.897,5258.98,10.92
6.904,5259.46,10.93
6.91,5260.03,10.95
6.916,5260.66,10.96
6.92,5261.32,10.97
6.925,5262.07,10.98
6.929,5262.83,10.99
6.933,5263.61,11
6.936,5264.41,11
6.939,5265.25,11.01
6.942,5266.1,11.02
6.945,5266.97,11.02
6.947,5267.87,11.03
6.949,5268.85,11.04
6.951,5269.76,11.04
6.953,5270.68,11.04
6.955,5271.67,11.05
6.957,5272.58,11.05
6.958,5273.48,11.05
6.96,5274.43,11.06
6.961,5275.31,11.06
6.963,5276.19,11.06
6.964,5277.13,11.07
6.965,5278,11.07
6.966,5278.89,11.07
6.968,5279.77,11.07
6.969,5280.65,11.07
6.97,5281.54,11.07
6.971,5282.49,11.08
6.972,5283.38,11.08
6.973,5284.34,11.08
6.974,5285.24,11.08
6.975,5286.15,11.08
6.976,5288,11.08
6.977,5288.94,11.09
6.978,5289.95,11.09
6.979,5291.86,11.09
6.98,5293.83,11.09
6.981,5295.79,11.09
6.982,5298.7,11.1
6.983,5301.66,11.1
6.984,5304.62,11.1
6.985,5306.5,11.1
6.986,5308.44,11.1
6.987,5310.37,11.1
6.988,5312.21,11.1
6.989,5314.11,11.1
6.99,5315,11.1
6.991,5316.85,11.1
6.992,5317.73,11.1
6.993,5319.56,11.1
6.994,5321.38,11.1
6.995,5322.27,11.1
6.996,5324.12,11.1
6.997,5326.85,11.1
3.782,5474.81,10.06
3.784,5473.84,10.06
3.787,5472.8,10.06
3.793,5471.74,10.05
3.8,5470.69,10.05
3.807,5469.72,10.04
3.817,5468.66,10.04
3.828,5467.6,10.04
3.84,5466.6,10.03
3.853,5465.59,10.03
3.868,5464.49,10.03
3.886,5463.39,10.03
3.903,5462.35,10.02
3.923,5461.23,10.02
3.944,5460.1,10.02
3.967,5458.97,10.02
3.989,5457.92,10.02
4.014,5456.78,10.02
4.04,5455.63,10.02
4.067,5454.48,10.02
4.094,5453.39,10.02
4.123,5452.22,10.02
4.153,5451.04,10.02
4.185,5449.87,10.03
4.215,5448.78,10.03
4.249,5447.6,10.03
4.282,5446.44,10.04
4.316,5445.29,10.04
4.349,5444.23,10.05
4.384,5443.09,10.06
4.42,5441.97,10.06
4.454,5440.93,10.07
4.488,5439.91,10.08
4.524,5438.83,10.09
4.562,5437.75,10.1
4.596,5436.79,10.1
4.634,5435.77,10.11
4.671,5434.77,10.12
4.709,5433.79,10.14
4.743,5432.91,10.15
4.781,5431.98,10.16
4.818,5431.06,10.17
4.855,5430.16,10.18
4.889,5429.35,10.19
4.927,5428.48,10.2
4.963,5427.63,10.22
4.996,5426.87,10.23
5.029,5426.14,10.24
5.064,5425.34,10.25
5.099,5424.58,10.26
5.129,5423.89,10.28
5.163,5423.15,10.29
5.196,5422.43,10.3
5.225,5421.8,10.31
5.253,5421.18,10.32
5.284,5420.51,10.34
5.313,5419.88,10.35
5.339,5419.33,10.36
5.366,5418.73,10.37
5.393,5418.15,10.39
5.418,5417.61,10.4
5.44,5417.14,10.41
5.463,5416.63,10.42
5.485,5416.16,10.44
5.504,5415.76,10.45
5.522,5415.37,10.46
5.541,5414.97,10.47
5.558,5414.64,10.48
5.573,5414.35,10.49
5.59,5414.03,10.5
5.605,5413.75,10.51
5.619,5413.54,10.52
5.632,5413.32,10.53
5.646,5413.13,10.54
5.658,5412.97,10.55
5.669,5412.87,10.56
5.681,5412.77,10.57
5.692,5412.7,10.58
5.702,5412.69,10.59
5.711,5412.71,10.6
5.721,5412.74,10.6
5.731,5412.81,10.61
5.74,5412.92,10.62
5.75,5413.05,10.63
5.759,5413.2,10.63
5.767,5413.38,10.64
5.776,5413.57,10.65
5.785,5413.78,10.65
5.795,5414.01,10.66
5.804,5414.26,10.66
5.813,5414.52,10.67
5.823,5414.79,10.68
5.833,5415.07,10.68
5.843,5415.34,10.69
5.854,5415.63,10.69
5.865,5415.92,10.7
5.877,5416.2,10.7
5.888,5416.48,10.71
5.901,5416.78,10.71
5.915,5417.09,10.72
5.929,5417.4,10.72
5.945,5417.73,10.73
5.961,5418.07,10.74
5.977,5418.4,10.74
5.995,5418.73,10.75
6.015,5419.09,10.75
6.035,5419.46,10.76
6.057,5419.81,10.77
6.081,5420.19,10.77
6.106,5420.57,10.78
6.131,5420.94,10.79
6.158,5421.31,10.79
6.189,5421.7,10.8
6.22,5422.1,10.81
6.253,5422.48,10.81
6.289,5422.88,10.82
6.327,5423.28,10.83
6.365,5423.69,10.83
6.405,5424.06,10.84
6.449,5424.47,10.85
6.495,5424.89,10.85
6.539,5425.27,10.86
6.587,5425.66,10.86
6.639,5426.09,10.87
6.691,5426.52,10.88
6.744,5426.91,10.88
6.801,5427.34,10.89
6.86,5427.76,10.9
6.919,5428.18,10.9
6.977,5428.57,10.91
7.041,5429,10.92
7.106,5429.42,10.92
7.167,5429.83,10.93
7.231,5430.24,10.93
7.3,5430.69,10.94
7.37,5431.15,10.95
7.435,5431.57,10.95
7.506,5432.04,10.96
7.578,5432.51,10.97
7.651,5432.98,10.98
7.719,5433.41,10.98
7.794,5433.89,10.99
7.869,5434.37,11
7.94,5434.83,11
8.01,5435.3,11.01
8.087,5435.81,11.02
8.164,5436.34,11.02
8.235,5436.84,11.03
8.312,5437.38,11.04
8.389,5437.93,11.04
8.465,5438.49,11.05
8.536,5439.02,11.06
8.613,5439.59,11.07
8.689,5440.18,11.07
8.759,5440.75,11.08
8.828,5441.34,11.09
8.903,5441.97,11.09
8.977,5442.63,11.1
9.043,5443.27,11.11
9.114,5443.96,11.11
9.185,5444.66,11.12
9.254,5445.39,11.13
9.315,5446.09,11.14
9.381,5446.85,11.14
9.446,5447.62,11.15
9.503,5448.37,11.15
9.559,5449.15,11.16
9.618,5449.99,11.17
9.675,5450.86,11.17
9.725,5451.68,11.18
9.778,5452.57,11.19
9.829,5453.49,11.19
9.877,5454.42,11.2
9.92,5455.31,11.21
9.964,5456.29,11.21
10.007,5457.3,11.22
10.047,5458.34,11.22
10.082,5459.34,11.23
10.118,5460.44,11.24
10.151,5461.56,11.24
10.182,5462.71,11.25
10.209,5463.79,11.25
10.235,5464.96,11.26
10.26,5466.14,11.26
10.282,5467.33,11.27
10.301,5468.46,11.27
10.32,5469.67,11.28
10.337,5470.9,11.28
10.351,5472.14,11.29
10.362,5473.31,11.29
10.373,5474.57,11.29
10.382,5475.82,11.3
10.389,5477.08,11.3
10.392,5478.26,11.3
10.395,5479.53,11.3
10.396,5480.8,11.31
7.851,5650.14,11.14
7.853,5651.07,11.14
7.857,5651.94,11.14
7.861,5652.79,11.14
7.867,5653.64,11.14
7.873,5654.48,11.14
7.881,5655.31,11.14
7.89,5656.21,11.14
7.901,5657.04,11.14
7.914,5657.87,11.14
7.928,5658.72,11.14
7.944,5659.56,11.14
7.962,5660.4,11.14
7.982,5661.31,11.14
8.004,5662.21,11.14
8.027,5663.05,11.14
8.054,5663.9,11.14
8.083,5664.75,11.14
8.113,5665.6,11.14
8.145,5666.46,11.14
8.181,5667.39,11.14
8.219,5668.26,11.14
8.258,5669.13,11.14
8.301,5669.99,11.15
8.346,5670.84,11.15
8.394,5671.69,11.15
8.444,5672.59,11.15
8.497,5673.49,11.15
8.55,5674.33,11.15
8.605,5675.16,11.16
8.663,5676.01,11.16
8.724,5676.86,11.16
8.787,5677.71,11.16
8.856,5678.62,11.17
8.925,5679.53,11.17
8.993,5680.37,11.17
9.063,5681.21,11.18
9.135,5682.05,11.18
9.209,5682.89,11.18
9.285,5683.73,11.19
9.367,5684.65,11.19
9.447,5685.5,11.19
9.527,5686.37,11.2
9.609,5687.24,11.2
9.692,5688.12,11.21
9.776,5689,11.21
9.867,5689.94,11.22
9.96,5690.89,11.22
10.053,5691.85,11.23
10.141,5692.76,11.23
10.229,5693.68,11.23
10.318,5694.62,11.24
10.407,5695.58,11.24
10.497,5696.55,11.25
10.593,5697.6,11.25
10.689,5698.65,11.26
10.779,5699.66,11.26
10.867,5700.68,11.27
10.954,5701.71,11.27
11.04,5702.75,11.28
11.126,5703.81,11.28
11.218,5704.96,11.29
11.309,5706.14,11.29
11.393,5707.25,11.3
11.475,5708.38,11.3
11.555,5709.51,11.31
11.633,5710.67,11.31
11.709,5711.83,11.32
11.789,5713.08,11.32
11.867,5714.35,11.33
11.943,5715.64,11.34
12.011,5716.87,11.34
12.077,5718.11,11.35
12.142,5719.38,11.35
12.204,5720.66,11.35
12.265,5721.96,11.36
12.327,5723.35,11.37
12.387,5724.75,11.37
12.444,5726.16,11.38
12.493,5727.49,11.38
12.541,5728.84,11.38
12.585,5730.19,11.39
12.629,5731.56,11.39
12.672,5732.95,11.4
12.715,5734.44,11.4
12.757,5735.95,11.41
12.796,5737.48,11.41
12.829,5738.94,11.42
12.86,5740.39,11.42
12.889,5741.86,11.42
12.916,5743.35,11.43
12.942,5744.84,11.43
12.969,5746.47,11.44
12.993,5748.11,11.44
13.016,5749.77,11.44
13.038,5751.45,11.45
13.057,5753.03,11.45
13.074,5754.62,11.46
13.091,5756.22,11.46
13.105,5757.81,11.46
13.119,5759.41,11.47
13.133,5761.14,11.47
13.145,5762.87,11.48
13.157,5764.61,11.48
13.167,5766.38,11.48
13.177,5768.14,11.49
13.185,5769.79,11.49
13.192,5771.44,11.49
13.199,5773.09,11.5
13.205,5774.73,11.5
13.211,5776.37,11.5
13.216,5778.13,11.51
13.221,5779.9,11.51
13.226,5781.68,11.52
13.23,5783.46,11.52
13.234,5785.26,11.52
13.237,5786.93,11.53
13.24,5788.6,11.53
13.242,5790.27,11.53
13.244,5791.94,11.54
13.246,5793.59,11.54
13.248,5795.37,11.54
13.25,5797.15,11.55
13.252,5798.94,11.55
13.253,5800.73,11.55
13.254,5802.53,11.56
13.255,5804.33,11.56
13.256,5806.02,11.56
13.257,5807.69,11.56
5.845,6171.51,10.5
5.847,6171.13,10.49
5.848,6170.92,10.48
5.851,6170.72,10.48
5.853,6170.51,10.48
5.857,6170.31,10.47
5.86,6170.1,10.47
5.865,6169.89,10.47
5.869,6169.68,10.47
5.874,6169.45,10.47
5.88,6169.21,10.46
5.886,6168.97,10.46
5.892,6168.72,10.46
5.899,6168.46,10.46
5.906,6168.22,10.46
5.913,6167.97,10.46
5.921,6167.72,10.46
5.929,6167.45,10.46
5.938,6167.18,10.46
5.947,6166.88,10.46
5.957,6166.57,10.46
5.967,6166.25,10.46
5.977,6165.93,10.46
5.987,6165.59,10.46
5.998,6165.28,10.46
6.008,6164.96,10.46
6.019,6164.64,10.46
6.03,6164.32,10.46
6.042,6163.99,10.46
6.054,6163.67,10.46
6.066,6163.33,10.46
6.079,6162.99,10.46
6.092,6162.66,10.46
6.105,6162.33,10.46
6.119,6162.01,10.47
6.131,6161.71,10.47
6.144,6161.42,10.47
6.157,6161.13,10.47
6.17,6160.84,10.47
6.184,6160.56,10.47
6.197,6160.28,10.47
6.211,6160,10.47
6.226,6159.72,10.48
6.24,6159.45,10.48
6.255,6159.18,10.48
6.27,6158.93,10.48
6.283,6158.71,10.48
6.297,6158.5,10.48
6.312,6158.31,10.48
6.326,6158.12,10.48
6.34,6157.95,10.48
6.356,6157.77,10.49
6.371,6157.6,10.49
6.387,6157.44,10.49
6.402,6157.28,10.49
6.418,6157.13,10.49
6.433,6157,10.49
6.448,6156.88,10.49
6.463,6156.75,10.49
6.479,6156.64,10.49
6.494,6156.54,10.5
6.51,6156.43,10.5
6.527,6156.33,10.5
6.543,6156.24,10.5
6.56,6156.15,10.5
6.576,6156.08,10.51
6.592,6156.04,10.51
6.607,6156,10.51
6.623,6155.98,10.51
6.639,6155.97,10.51
6.654,6155.97,10.52
6.67,6155.99,10.52
6.686,6156.02,10.52
6.702,6156.07,10.53
6.718,6156.14,10.53
6.734,6156.22,10.53
6.75,6156.32,10.53
6.765,6156.45,10.54
6.78,6156.58,10.54
6.794,6156.74,10.54
6.808,6156.91,10.55
6.822,6157.09,10.55
6.836,6157.3,10.55
6.851,6157.53,10.56
6.865,6157.77,10.56
6.879,6158.03,10.57
6.892,6158.29,10.57
6.905,6158.56,10.57
6.917,6158.83,10.58
6.929,6159.1,10.58
6.941,6159.37,10.59
6.952,6159.65,10.59
6.963,6159.93,10.6
6.975,6160.22,10.6
6.986,6160.51,10.61
6.997,6160.81,10.61
7.008,6161.09,10.62
7.019,6161.37,10.63
7.028,6161.62,10.63
7.037,6161.86,10.64
7.046,6162.1,10.64
7.054,6162.33,10.65
7.061,6162.56,10.66
7.069,6162.78,10.66
7.076,6163.02,10.67
7.084,6163.27,10.67
7.091,6163.51,10.68
7.098,6163.76,10.69
7.104,6164,10.69
7.109,6164.24,10.7
7.114,6164.47,10.7
7.118,6164.71,10.71
7.123,6164.95,10.71
7.126,6165.2,10.72
7.13,6165.46,10.73
7.134,6165.73,10.73
7.137,6166.01,10.74
7.141,6166.3,10.74
7.144,6166.58,10.75
7.147,6166.88,10.75
7.149,6167.16,10.76
7.151,6167.44,10.76
7.153,6167.73,10.76
7.154,6168.02,10.77
7.156,6168.32,10.77
7.158,6168.64,10.78
7.159,6168.97,10.78
7.16,6169.3,10.79
7.161,6169.63,10.79
7.162,6169.96,10.79
7.159,6178.93,10.86
7.16,6179.71,10.86
7.161,6180.47,10.86
7.162,6181.21,10.86
7.163,6181.97,10.87
7.164,6182.35,10.87
7.165,6183.13,10.87
7.166,6183.51,10.87
7.167,6184.23,10.87
7.168,6184.95,10.88
7.169,6185.73,10.88
7.17,6186.5,10.88
7.171,6187.61,10.89
7.172,6188.71,10.89
7.173,6191.13,10.9
7.174,6194.23,10.91
7.175,6195.96,10.91
6.445,6231.89,10.53
6.446,6232.49,10.53
6.42,6243.4,10.52
6.421,6244.19,10.53
6.422,6244.59,10.53
6.423,6244.79,10.53
6.424,6245.17,10.53
6.425,6245.52,10.53
6.426,6245.7,10.53
6.427,6246.04,10.53
6.428,6246.53,10.53
6.429,6247.33,10.54
6.357,6264.61,10.55
6.358,6264.96,10.55
6.359,6265.18,10.55
6.36,6265.37,10.56
6.361,6265.57,10.56
6.362,6265.76,10.56
6.363,6265.85,10.56
6.364,6266.04,10.57
6.365,6266.22,10.57
6.366,6266.39,10.57
6.367,6266.61,10.58
6.368,6266.8,10.58
6.369,6266.97,10.58
6.339,6269.83,10.59
6.34,6270.25,10.59
6.341,6270.58,10.59
6.342,6270.79,10.59
6.343,6271.02,10.59
6.344,6271.14,10.58
6.345,6271.37,10.58
6.346,6271.49,10.58
6.347,6271.61,10.58
6.348,6271.74,10.58
6.349,6271.87,10.58
6.35,6272.01,10.58
6.351,6272.15,10.58
6.352,6272.29,10.58
6.353,6272.43,10.58
6.354,6272.59,10.58
6.356,6272.75,10.58
6.357,6272.91,10.58
6.358,6273.07,10.58
6.359,6273.23,10.58
6.361,6273.37,10.58
6.362,6273.52,10.58
6.363,6273.67,10.57
6.365,6273.81,10.57
6.366,6273.95,10.57
6.367,6274.08,10.57
6.369,6274.21,10.57
6.37,6274.32,10.57
6.372,6274.44,10.57
6.373,6274.55,10.57
6.375,6274.65,10.57
6.376,6274.76,10.57
6.378,6274.86,10.57
6.379,6274.95,10.57
6.381,6275.05,10.57
6.383,6275.15,10.57
6.384,6275.25,10.57
6.386,6275.36,10.56
6.388,6275.46,10.56
6.389,6275.57,10.56
6.391,6275.67,10.56
6.392,6275.79,10.56
6.394,6275.9,10.56
6.396,6276.02,10.56
6.397,6276.15,10.56
6.399,6276.28,10.56
6.401,6276.41,10.56
6.402,6276.53,10.56
6.404,6276.67,10.56
6.406,6276.82,10.56
6.407,6276.96,10.56
6.409,6277.11,10.56
6.411,6277.26,10.56
6.412,6277.41,10.56
6.414,6277.56,10.56
6.416,6277.72,10.56
6.417,6277.89,10.56
6.419,6278.06,10.56
6.42,6278.23,10.56
6.422,6278.4,10.56
6.423,6278.56,10.56
6.425,6278.73,10.56
6.426,6278.89,10.56
6.428,6279.06,10.56
6.429,6279.22,10.56
6.43,6279.38,10.56
6.431,6279.53,10.56
6.432,6279.68,10.56
6.433,6279.82,10.56
6.434,6279.97,10.56
6.435,6280.1,10.56
6.436,6280.34,10.56
6.437,6280.44,10.56
6.438,6280.62,10.55
6.439,6280.84,10.55
6.438,6283.11,10.54
6.439,6284.06,10.54
6.44,6284.8,10.53
6.441,6285.16,10.53
